formulation,experiment,n,runs,collapses,collapse_rate,E_rel_mean,E_rel_std,L2_mean,L2_std,integral_mean,integral_std
con_rayleigh,A1_s0,1,30,0,0.0,5.7274587661034775e-08,3.0497628496570385e-08,3.680542162486286e-05,3.6089574361191228e-06,0.9999990057801829,4.755313058983717e-07
con_rayleigh,A1_s0,2,30,0,0.0,6.441827369838409e-08,3.6510930673267936e-08,4.816777032564369e-05,5.093694737064909e-06,0.9999973973439775,5.594928082208159e-07
con_rayleigh,A1_s0,3,30,0,0.0,3.318547527750026e-08,3.9308504432498774e-08,4.3315550664966006e-05,5.265906010224867e-06,0.9999987866502138,3.4036265879802666e-07
con_rayleigh,A1_s0,4,30,0,0.0,6.805266639819755e-08,3.252647870935541e-08,5.227409486943141e-05,6.087719661856484e-06,0.9999982529118576,5.277351441643124e-07
con_rayleigh,A1_s0,5,30,0,0.0,9.094698638080647e-08,4.212473637792899e-08,5.339532191143089e-05,4.07059153107928e-06,0.9999972968030192,6.761964631938064e-07
con_rayleigh,A1_s0,6,30,0,0.0,5.3756584969246814e-08,4.907353716898199e-08,4.596055541426763e-05,4.386681699252295e-06,0.9999969641980855,9.155145545034508e-07
con_rayleigh,A1_s0,7,30,0,0.0,1.0856324319427106e-07,5.222972547973465e-08,3.446747351088269e-05,3.89656084496678e-06,0.9999975860135762,6.362536841740885e-07
con_rayleigh,A1_s0,8,30,0,0.0,5.993783250476e-08,3.8952703544827996e-08,2.836248396870929e-05,5.713234006536566e-06,0.9999975076716126,5.783227505007631e-07
con_rayleigh,A1_s0,9,30,0,0.0,8.503820913487102e-08,3.72825387544045e-08,2.3661061878201967e-05,7.467795381907036e-06,0.9999974379461215,1.2105609652631368e-06
con_rayleigh,A1_s0,10,30,0,0.0,9.796183587267492e-08,3.607169453058323e-08,2.593062433389753e-05,5.630398434266995e-06,0.999994994764259,8.309489367741936e-07
con_rayleigh,A1_s0,11,30,0,0.0,1.0375823695609339e-07,5.867097888027172e-08,2.4640561404328337e-05,9.667167032901461e-06,0.9999948124316086,1.6608234346635137e-06
con_rayleigh,A1_s0,12,30,0,0.0,4.230444742286725e-08,4.279717160505597e-08,2.54697570188131e-05,9.022422612509472e-06,0.9999931089127264,2.238192675653666e-06
con_rayleigh,A1_s0,13,30,0,0.0,5.511102366385348e-08,3.558546472228304e-08,2.229280974159167e-05,8.474738716271454e-06,0.9999945337384453,2.4607420264338886e-06
con_rayleigh,A1_s0,14,30,0,0.0,1.1277015086436988e-07,4.8973400073779746e-08,4.2704484709645904e-05,5.772130167013912e-06,0.9999363962818433,2.6924555748479495e-06
con_rayleigh,A1_s0,15,30,0,0.0,8.789764694218673e-08,5.273899918970142e-08,2.476567082844282e-05,8.729868396876061e-06,0.9999924918846301,3.6730789230483536e-06
con_rayleigh,A1_s0,16,30,0,0.0,6.77833772096118e-08,4.239558928020216e-08,2.094627102209211e-05,1.1345672398556683e-05,0.9999927490932591,4.432511289553622e-06
con_rayleigh,A1_s0,17,30,0,0.0,9.366130235700208e-08,5.1657753240850486e-08,2.1370595712104212e-05,1.0599698435453676e-05,0.9999921462281944,4.979884964951437e-06
con_rayleigh,A1_s0,18,30,0,0.0,6.47852143773388e-08,3.726424006535852e-08,5.25282703282061e-05,6.245968575565558e-06,0.999906191563516,5.367236862412391e-06
con_rayleigh,A1_s0,19,30,0,0.0,3.640556521631249e-08,2.2115818502590267e-08,2.2675352283344158e-05,1.0414604309078895e-05,0.999988007592888,5.6138975133562844e-06
con_rayleigh,A1_s0,20,30,0,0.0,8.76549120809333e-08,3.5145833636457915e-08,6.478951732033381e-05,6.832082047931267e-06,0.9998768951831389,7.09056678555007e-06
con_rayleigh,A1_s0,21,30,0,0.0,1.6091587202996109e-07,5.6541616858512726e-08,0.00047371729096549363,4.003573146271883e-06,0.9990538490811774,7.23405139817148e-06
con_rayleigh,A1_s0,22,30,0,0.0,1.3244522096981955e-07,5.964272134871552e-08,0.0003088957843061478,5.5737891925996e-06,0.9993839106524014,9.796069829127024e-06
con_rayleigh,A1_s0,23,30,0,0.0,8.303691127042625e-08,5.2936707524685224e-08,1.7886573743077964e-05,1.0218658919958528e-05,0.9999830701801977,9.001681683804422e-06
con_rayleigh,A1_s0,24,30,0,0.0,2.9792571905323825e-08,3.7021285215504167e-08,1.986609708653363e-05,9.337615058673784e-06,0.9999750474306663,9.388525958570115e-06
con_rayleigh,A1_s0,25,30,0,0.0,6.033761265441841e-08,3.6218613574888e-08,2.2737341699893796e-05,1.1741322818650781e-05,0.9999697036233752,1.1901199914166976e-05
con_rayleigh,A1_s0,26,30,0,0.0,4.011351345300945e-08,3.320275238991403e-08,0.00014233985036113378,6.767113353077064e-06,0.9997180267719675,1.0909827794975252e-05
con_rayleigh,A1_s0,27,30,1,0.03333333333333333,1.2160009123312471e-05,6.58339935520283e-05,0.03362803834543815,0.18147754940766755,0.9657117615135771,0.18238860182136624
con_rayleigh,A1_s0,28,30,1,0.03333333333333333,2.467444687777302e-07,7.019067964604675e-07,0.03185119838953968,0.17315460794391993,0.9662957990330636,0.18201060317857384
con_rayleigh,A1_s0,29,30,2,0.06666666666666667,5.525645807327865e-07,2.5493816700573406e-06,0.05709490635867925,0.199988610903868,0.9277248026060299,0.22682849186042817
con_rayleigh,A1_s0,30,30,2,0.06666666666666667,4.55942748983579e-06,2.4459437338532905e-05,0.06166007546805389,0.22783856785422388,0.930658196992326,0.24750043368621727
con_rayleigh,A1_s0p01,1,30,0,0.0,4.775603643258469e-08,2.3769470866305852e-08,3.783937232958169e-05,3.5109566136108768e-06,0.9999988999045419,5.788055083769078e-07
