n,kl_weight,prior_sigma,seed,l2,collapsed,minutes,experiment_name
9,0.00224,0.3,0,0.00477,0,3.0,vi_n9_klw22p4e-4_s0
9,0.00335,0.3,0,0.00357,0,3.0,vi_n9_klw33p5e-4_s0
9,0.00409,0.3,0,0.98156,1,3.0,vi_n9_klw40p9e-4_s0
9,0.00335,0.3,1,0.00253,0,3.0,vi_n9_klw33p5e-4_s1
9,0.00335,0.3,2,0.00906,0,3.0,vi_n9_klw33p5e-4_s2
9,0.00409,0.3,1,0.98278,1,3.0,vi_n9_klw40p9e-4_s1
9,0.00409,0.3,2,0.00881,0,3.0,vi_n9_klw40p9e-4_s2
